"Freq [GHz]","dB(St(FloquetPort2:1,FloquetPort1:1)) []","dB(St(FloquetPort2:2,FloquetPort1:2)) []"
1,-0.0490023618279843,-0.0711926884938335
1.01779755283649,-0.0505800989022808,-0.0735469229959931
1.03559510567297,-0.0521879996839634,-0.0759374533461255
1.05339265850946,-0.0538264028597423,-0.0783647461291753
1.07119021134594,-0.0554956667580227,-0.0808293035469471
1.08898776418243,-0.0571961697010999,-0.0833316621265463
1.10678531701891,-0.0589283103624952,-0.0858723913728316
1.12458286985539,-0.0606925081316866,-0.0884520923766891
1.14238042269188,-0.0624892034886911,-0.0910713963911389
1.16017797552836,-0.0643188583910321,-0.093730963387518
1.17797552836485,-0.066181956675749,-0.0964314806040507
1.19577308120133,-0.0680790044791477,-0.0991736610993146
1.21357063403782,-0.0700105306772361,-0.101958242322887
1.2313681868743,-0.0719770873496635,-0.104785984715623
1.24916573971079,-0.0739792502703079,-0.10765767035176
1.26696329254727,-0.0760176194276075,-0.110574101634871
1.28476084538376,-0.078092819577859,-0.113536100059471
1.30255839822024,-0.0802055008348181,-0.116544505049798
1.32035595105673,-0.0823563392990206,-0.11960017288689
1.33815350389321,-0.0845460377302971,-0.122703975734665
1.3559510567297,-0.0867753262671563,-0.125856800775425
1.37374860956618,-0.0890449631966724,-0.129059549464387
1.39154616240267,-0.0913557357787349,-0.132313136912744
1.40934371523915,-0.0937084611285438,-0.135618491407768
1.42714126807564,-0.0961039871614173,-0.138976554078216
1.44493882091212,-0.0985431936040461,-0.142388278712465
1.46273637374861,-0.101026993076498,-0.145854631736283
1.48053392658509,-0.103556332249393,-0.149376592356449
1.49833147942158,-0.106132193080856,-0.152955152875807
1.51612903225806,-0.108755594137996,-0.156591319184626
1.53392658509455,-0.111427592007845,-0.160286111432584
1.55172413793103,-0.114149282802988,-0.164040564884952
1.56952169076752,-0.116921803767118,-0.167855730965987
1.587319243604,-0.119746334986312,-0.171732678491939
1.60511679644049,-0.122624101211791,-0.175672495095514
1.62291434927697,-0.125556373800446,-0.17967628884301
1.64071190211346,-0.128544472779673,-0.183745190045028
1.65850945494994,-0.131589769043368,-0.187880353261015
1.67630700778643,-0.13469368668644,-0.192082959497689
1.69410456062291,-0.137857705485598,-0.196354218600903
1.7119021134594,-0.141083363534643,-0.200695371840422
